"state","known","total","BARLEY","CORN","COTTON","RICE","SOYBEANS","WHEAT"
"AL","1193600","1.662e6","0","236500.0","304100","0","283100.0","0.0"
"AR","3691300","5.8499e6","0","371900.0","386200","1772400","3.1422e6","159000.0"
"AZ","377600","561300.0","40100","0.0","183700","0","0.0","63600.0"
"CA","940500","2.069e6","62800","185400.0","288400","547300","0.0","692300.0"
"CO","5168100","5.3585e6","48900","1.2258e6","0","0","0.0","2.307e6"
"CT","0","0.0","0","0.0","0","0","0.0","0.0"
"DC","0","0.0","0","0.0","0","0","0.0","0.0"
"DE","355000","355000.0","0","180000.0","0","0","175000.0","0.0"
"FL","0","473000.0","0","0.0","0","0","0.0","0.0"
"GA","447800","2.19335e6","0","200200.0","1252900","0","171800.0","75800.0"
"IA","24279790","2.44104e7","0","1.34e7","0","0","9.8e6","0.0"
"ID","2904700","3.4915e6","465600","0.0","0","0","0.0","1.3098e6"
"IL","22316300","2.23316e7","0","1.2576e7","0","0","9.093e6","203000.0"
"IN","12046900","1.20469e7","0","5.9e6","0","0","5.3424e6","234600.0"
"KS","21547100","2.15932e7","0","4.498e6","23300","0","4.1798e6","8.2633e6"
"KY","5196780","5.27689e6","0","1.3258e6","0","0","1.3742e6","279200.0"
"LA","1489000","2.5436e6","0","462400.0","250200","469600","965600.0","0.0"
"MA","0","0.0","0","0.0","0","0","0.0","0.0"
"MD","1176300","1.1763e6","35000","500000.0","0","0","468500.0","172800.0"
"ME","0","53000.0","0","0.0","0","0","0.0","0.0"
"MI","4935300","5.268e6","0","2.39e6","0","0","2.0414e6","503900.0"
"MN","18424200","1.93001e7","68400","7.6616e6","0","0","7.37e6","1.5753e6"
"MO","12304700","1.28577e7","0","3.1291e6","303600","249400","5.1304e6","288800.0"
"WY","1404400","1.4633e6","67100","65900.0","0","0","0.0","139700.0"
"MS","2740900","3.3816e6","0","708000.0","350400","284000","1.9554e6","74600.0"
"MT","8728800","9.2769e6","672700","62300.0","0","0","0.0","5.1943e6"
"NC","3654300","4.4341e6","0","882900.0","510700","0","1.5319e6","400700.0"
"ND","17351900","2.15101e7","669500","1.9899e6","0","0","4.084e6","8.0805e6"
"NE","18609400","1.88534e7","0","9.1372e6","0","0","5.1246e6","1.5828e6"
"NH","0","0.0","0","0.0","0","0","0.0","0.0"
"NJ","183200","184500.0","0","73200.0","0","0","78800.0","18700.0"
"NM","729900","774700.0","0","0.0","41200","0","0.0","419400.0"
"NV","263000","263000.0","0","0.0","0","0","0.0","0.0"
"NY","2692600","2.776e6","0","1.0302e6","0","0","267800.0","91800.0"
"OH","9662010","9.67901e6","0","3.4398e6","0","0","4.5828e6","655400.0"
"OK","7170600","7.4389e6","0","98200.0","258400","0","393400.0","5.0597e6"
"OR","1949700","1.9968e6","40900","0.0","0","0","0.0","875200.0"
"PA","3373100","3.4719e6","47600","1.256e6","0","0","471900.0","139300.0"
"RI","0","0.0","0","0.0","0","0","0.0","0.0"
"SC","1249600","1.5041e6","0","339500.0","184700","0","454000.0","117300.0"
"SD","14576500","1.50417e7","0","4.4576e6","0","0","4.1885e6","2.2913e6"
"TN","4243000","4.63699e6","0","686700.0","376900","0","1.431e6","182500.0"
"TX","9184300","1.52242e7","0","2.0725e6","5446400","138200","136800.0","5.3319e6"
"UT","571500","571500.0","31500","0.0","0","0","0.0","0.0"
"VA","2429450","2.46143e6","52600","447900.0","0","0","494200.0","147300.0"
"VT","0","0.0","0","0.0","0","0","0.0","0.0"
"WA","3259100","3.409e6","77300","131300.0","0","0","0.0","2.2694e6"
"WI","7369300","7.7147e6","0","3.8813e6","0","0","1.6305e6","228200.0"
"WV","446900","446900.0","0","42000.0","0","0","18800.0","4500.0"
