"x1","x2","x3","x4","x5","x6","x7","x8"
0.0,100.0,5600.0,0.0,0.0,101860.0,12190.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,2890.0,0.0
0.0,400.0,100.0,0.0,0.0,73510.0,3180.0,0.0
0.0,0.0,100.0,0.0,0.0,550.0,710.0,0.0
0.0,2600.0,28900.0,0.0,0.0,119050.0,480.0,0.0
0.0,0.0,2800.0,549.158902,0.0,940.0,4650.0,10700.707212
354.909622,200.0,3500.0,0.0,0.0,8920.0,15450.0,9121.62244
0.0,0.0,0.0,0.0,0.0,20.0,1190.0,4341.066722
0.0,200.0,7400.0,7678.107478,0.0,16930.0,100.0,2983.749878
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,200.0,0.0,0.0,0.0,7130.0,30618.947446
1435.825928,0.0,0.0,0.0,0.0,0.0,2350.0,8565.179189999999
0.0,1600.0,8000.0,403.876628,15.782753999999999,20.0,240.0,2240.341696
0.0,0.0,0.0,0.0,0.0,810.0,500.0,0.0
31.160822,0.0,3400.0,0.0,0.0,390.0,4320.0,13150.676255999999
0.0,0.0,0.0,0.0,0.0,9000.0,0.0,0.0
0.0,100.0,100.0,0.0,0.0,3330.0,40.0,2484.367354
0.0,0.0,100.0,0.0,0.0,10570.0,110.0,2790.714656
0.0,0.0,200.0,0.0,0.0,950.0,1040.0,3651.8864639999997
0.0,100.0,200.0,0.0,0.0,69170.0,10.0,9175.040992
0.0,1600.0,500.0,0.0,0.0,7380.0,180.0,2980.107704
0.0,0.0,700.0,0.0,0.0,140.0,570.0,2645.432382
0.0,0.0,100.0,0.0,0.0,1290.0,5340.0,9801.49492
0.0,0.0,0.0,0.0,0.0,10.0,10.0,0.0
0.0,0.0,0.0,0.0,0.0,30.0,10.0,0.0
0.0,0.0,200.0,0.0,0.0,60.0,70.0,0.0
0.0,0.0,0.0,0.0,0.0,20.0,40.0,0.0
0.0,100.0,100.0,0.0,0.0,2950.0,360.0,3595.6351099999997
0.0,0.0,0.0,0.0,0.0,10.0,120.0,0.0
0.0,0.0,200.0,0.0,0.0,5790.0,9410.0,0.0
0.0,500.0,3000.0,11884.413762,0.0,9000.0,10.0,54.63261
0.0,1000.0,62000.0,0.0,704.558326,132740.0,110.0,7336.957179999999
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,200.0,300.0,0.0,0.0,2500.0,9870.0,14208.930145999999
694.03649,1000.0,7500.0,0.0,0.0,22980.0,13770.0,12423.050828
0.0,0.0,500.0,0.0,0.0,7110.0,800.0,5434.123608
0.0,100.0,100.0,406.30474399999997,0.0,116810.0,70.0,4833.97427
0.0,3600.0,26900.0,0.0,0.0,179450.0,1810.0,16324.628553999999
0.0,600.0,8100.0,0.0,63.131015999999995,2630.0,5840.0,17004.096348
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,100.0,0.0,0.0,12250.0,540.0,8902.282627999999
0.0,0.0,300.0,0.0,0.0,4400.0,4500.0,15737.833854
56.65604,600.0,3600.0,0.0,0.0,110.0,8730.0,12867.800742
0.0,100.0,56000.0,0.0,0.0,55250.0,800.0,12056.405311999999
0.0,500.0,13000.0,114.930824,0.0,100.0,2310.0,12632.678176
0.0,0.0,100.0,0.0,0.0,190.0,960.0,0.0
0.0,0.0,0.0,0.0,0.0,10.0,100.0,0.0
0.0,8000.0,38000.0,0.0,0.0,143530.0,60.0,1446.3477639999999
0.0,0.0,0.0,0.0,0.0,10.0,330.0,0.0
0.0,500.0,13500.0,0.0,0.0,19870.0,6780.0,0.0
0.0,400.0,6200.0,0.0,0.0,9180.0,2350.0,3180.022588
0.0,0.0,100.0,0.0,0.0,2950.0,470.0,9031.377462
6288.011068,0.0,100.0,0.0,0.0,0.0,4460.0,18559.709332
0.0,0.0,100.0,0.0,0.0,7270.0,90.0,26952.492286
0.0,0.0,200.0,0.0,0.0,0.0,1890.0,19195.875723999998
0.0,0.0,0.0,0.0,0.0,500.0,0.0,0.0
0.0,0.0,100.0,0.0,0.0,250.0,390.0,0.0
0.0,2000.0,13000.0,0.0,0.0,78160.0,790.0,1768.073134
0.0,0.0,0.0,0.0,0.0,10.0,10.0,0.0
0.0,0.0,0.0,0.0,0.0,10.0,20.0,0.0
0.0,500.0,13500.0,95.10121,669.75533,149190.0,260.0,7870.738014
1997.934782,1600.0,77900.0,0.0,545.112042,190630.0,42650.0,40899.185904
0.0,5500.0,116500.0,0.0,0.0,145250.0,100.0,7254.805922
